"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 21, 2012","1,512.18","1,528.81","1,529.84","1,507.99","-","-1.09%"
"Dec 20, 2012","1,528.89","1,517.39","1,530.64","1,503.46","-","0.76%"
"Dec 19, 2012","1,517.39","1,511.42","1,524.77","1,509.41","-","0.39%"
"Dec 18, 2012","1,511.43","1,491.21","1,515.18","1,489.31","-","1.36%"
"Dec 17, 2012","1,491.21","1,500.89","1,508.18","1,487.44","-","-0.64%"
"Dec 14, 2012","1,500.89","1,499.68","1,508.35","1,494.50","-","0.08%"
"Dec 13, 2012","1,499.68","1,506.91","1,512.25","1,491.51","-","-0.48%"
"Dec 12, 2012","1,506.91","1,484.53","1,509.89","1,484.53","-","1.51%"
"Dec 11, 2012","1,484.50","1,480.78","1,489.07","1,476.41","-","0.25%"
"Dec 10, 2012","1,480.78","1,473.86","1,483.99","1,468.37","-","0.66%"
"Dec 07, 2012","1,471.09","1,467.00","1,472.27","1,453.19","-","0.28%"
"Dec 06, 2012","1,467.00","1,469.54","1,478.12","1,464.03","-","-0.17%"
"Dec 05, 2012","1,469.54","1,443.87","1,473.92","1,442.88","-","1.78%"
"Dec 04, 2012","1,443.87","1,451.69","1,451.69","1,436.17","-","-0.54%"
"Dec 03, 2012","1,451.69","1,437.51","1,452.42","1,433.20","-","1.05%"
"Nov 30, 2012","1,436.55","1,420.35","1,439.23","1,415.70","-","1.14%"
"Nov 29, 2012","1,420.35","1,397.38","1,424.86","1,394.21","-","1.64%"
"Nov 28, 2012","1,397.38","1,417.60","1,417.94","1,395.57","-","-1.43%"
"Nov 27, 2012","1,417.60","1,426.96","1,440.32","1,414.32","-","-0.66%"
